Name:,ampere,L1 Size:,64,L2 Size:,1024,L3 Size:,1,,L1,L1,L2,L2,L3,L3,DRAM,DRAM,FP,FP,FP FMA,FP_FMA
Date,ISA,Precision,Threads,Loads,Stores,Interleaved,DRAM Bytes,FP Inst.,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,GB/s,I/Cycle,Gflop/s,I/Cycle,Gflop/s,I/Cycle
28/09/2024 06:08,neon,sp,48,2,1,No,524288,div,3904.8326,85.6759,3682.1208,40.932,344.3033,40.932,56.202,0.7118,96.4952,8.0423,2306.259,96.1061
28/09/2024 06:20,armscalar,sp,48,2,1,No,524288,div,862.3158,96.3658,863.0729,83.4996,343.0993,83.5015,64.9467,2.8217,96.4952,32.1691,576.1558,96.038
28/09/2024 05:46,neon,dp,48,2,1,No,524288,div,3916.5028,85.2608,3691.3024,40.6025,362.5671,40.9929,55.4872,0.7118,48.441,8.0745,1156.5269,96.3893
28/09/2024 05:57,armscalar,dp,48,2,1,No,524288,div,1721.9895,96.0827,1707.7322,61.2735,375.225,61.653,59.0774,1.4368,48.1139,16.04,576.1558,96.038
28/09/2024 07:36,neon,sp,64,2,1,No,524288,div,5198.6856,114.2345,5018.7611,54.576,365.0633,54.576,53.5631,0.6919,128.6603,10.723,3070.5032,127.9536
28/09/2024 07:47,armscalar,sp,64,2,1,No,524288,div,1149.7533,128.4877,1151.6643,111.3327,326.2094,111.3353,60.3338,2.7395,128.6603,42.8921,768.2077,128.0506
28/09/2024 07:14,neon,dp,64,2,1,No,524288,div,5221.9687,113.9779,4992.6237,54.1366,335.0122,54.1366,52.0951,0.6919,64.1519,10.6933,1542.0359,128.5191
28/09/2024 07:25,armscalar,dp,64,2,1,No,524288,div,2295.4741,129.2145,2299.7604,82.2041,330.2393,82.2041,56.054,1.3983,64.1519,21.3866,768.2077,128.0506
28/09/2024 09:08,neon,sp,80,2,1,No,524288,div,6491.9272,142.8466,6148.5626,67.6018,368.0456,67.6018,50.2789,0.6681,160.8253,13.4088,3838.1289,160.002
28/09/2024 09:20,armscalar,sp,80,2,1,No,524288,div,1437.1909,160.6698,1439.4716,139.2181,325.8053,137.9201,60.1694,2.6525,159.8554,53.3118,960.2597,160.1233
28/09/2024 08:45,neon,dp,80,2,1,No,524288,div,6530.732,142.4723,6244.1248,67.6708,378.6566,68.3214,48.1074,0.6678,80.1898,13.3666,1927.5448,160.6488
28/09/2024 08:57,armscalar,dp,80,2,1,No,524288,div,2869.3492,159.9629,2874.5826,100.8722,322.3015,100.8722,54.7306,1.3462,80.1898,26.7433,960.2597,160.1233
28/09/2024 10:46,neon,sp,160,2,1,No,524288,div,12977.4342,288.8248,12470.0577,135.305,128.618,132.7993,100.5687,1.5419,319.7108,26.6759,7676.2579,320.2439
28/09/2024 10:57,armscalar,sp,160,2,1,No,524288,div,2873.754,321.4601,2879.0423,275.9374,134.289,275.9374,121.4312,6.1763,320.9808,107.0872,1920.5194,320.3667
28/09/2024 10:21,neon,dp,160,2,1,No,524288,div,13061.4639,285.2652,12512.8392,135.4938,172.2185,134.2155,94.2843,1.5488,159.8554,26.6759,3855.0897,321.659
28/09/2024 10:33,armscalar,dp,160,2,1,No,524288,div,5738.6984,320.6358,5752.2401,201.8957,133.8071,202.5458,107.2635,3.1012,160.3797,53.5267,1913.4939,319.3143
